"","year","region","cons_or_not","averagevoteshare"
"182",2000,"Gyeonggi","0",44.4555094450809
"183",2000,"Gyeonggi","1",51.5640669974429
"184",2000,"Gyeonggi","2",11.5362708500892
"185",2000,"Gyeongnam","0",21.0854652501319
"186",2000,"Gyeongnam","1",58.0271332222539
"187",2000,"Gyeongnam","2",25.7075711109098
"188",2000,"Incheon","0",42.6020148375884
"189",2000,"Incheon","1",54.0906073536041
"190",2000,"Incheon","2",9.0952889742207
"191",2000,"Jeju","0",51.5686953348686
"192",2000,"Jeju","1",44.3784032407826
"193",2000,"Jeju","2",6.07935213652319
"194",2000,"Jeonbuk","0",62.8839747957398
"195",2000,"Jeonbuk","1",8.14649935548476
"196",2000,"Jeonbuk","2",32.188362054195
"197",2000,"Jeonnam","0",67.6374023501471
"198",2000,"Jeonnam","1",6.47847116976974
"199",2000,"Jeonnam","2",38.1080128234278
"200",2000,"Seoul","0",50.7266903047911
"201",2000,"Seoul","1",47.7732468270243
"202",2000,"Seoul","2",3.55278047727951
"203",2000,"Ulsan","0",31.6883535148611
"204",2000,"Ulsan","1",55.4105612727787
"205",2000,"Ulsan","2",39.9719957781931
"206",2001,"Gangwon","0",12.9508579432707
"207",2001,"Gangwon","1",49.0092797945605
"208",2001,"Gangwon","2",38.0398622621688
"209",2001,"Seoul","0",48.7340851408125
"210",2001,"Seoul","1",50.6533420534032
"211",2001,"Seoul","2",1.22514561156859
"212",2002,"Busan","0",14.6237716168107
"213",2002,"Busan","1",60.6019479416266
"214",2002,"Busan","2",24.7742804415627
"215",2002,"Gwangju","0",55.8411565339972
"216",2002,"Gwangju","1",4.12705077832099
"217",2002,"Gwangju","2",40.0317926876818
"218",2002,"Gyeonggi","0",41.1189080780971
"219",2002,"Gyeonggi","1",51.5175445511494
"220",2002,"Gyeonggi","2",1.6493342137119
"221",2002,"Gyeongnam","0",16.6083030503249
"222",2002,"Gyeongnam","1",47.7920933817862
"223",2002,"Gyeongnam","2",9.13115295672283
"224",2002,"Incheon","0",26.4295450120075
"225",2002,"Incheon","1",73.5704549879925
